State,Percent.LDS
Alabama,0.75
Alaska,4.53
Arizona,6.18
Arkansas,1.00
California,2.01
Colorado,2.82
Connecticut,0.43
Delaware,0.55
District of Columbia,0.38
Florida,0.75
Georgia,0.82
Hawaii,5.18
Idaho,26.35
Illinois,0.44
Indiana,0.66
Iowa,0.87
Kansas,1.25
Kentucky,0.77
Louisiana,0.64
Maine,0.81
Maryland,0.72
Massachusetts,0.39
Michigan,0.44
Minnesota,0.59
Mississippi,0.72
Missouri,1.14
Montana,4.78
Nebraska,1.29
Nevada,6.41
New Hampshire,0.61
New Jersey,0.37
New Mexico,3.34
New York,0.41
North Carolina,0.82
North Dakota,1.48
Ohio,0.52
Oklahoma,1.20
Oregon,3.85
Pennsylvania,0.40
Rhode Island,0.37
South Carolina,0.83
South Dakota,1.27
Tennessee,0.75
Texas,1.21
Utah,67.97
Vermont,0.74
Virginia,1.13
Washington,3.99
West Virginia,0.92
Wisconsin,0.44
Wyoming,11.50
