"Time","Temperature","Plate..","Species","Germination","Root.length","Shoot.length"
1,22,1,"M82","Yes",0.31,0
1,22,1,"pen","Yes",1.36,0.23
1,22,1,"M82","Yes",2.49,1
1,22,1,"pen","Yes",1.77,0.86
1,22,1,"M82","No",0,0
1,22,1,"pen","Yes",1.62,1.13
1,22,1,"M82","Yes",0.94,0.89
1,22,1,"pen","Yes",1.68,0.86
1,22,1,"M82","Yes",1.58,1.1
1,22,1,"pen","No",0,0
1,22,2,"M82","No",0,0
1,22,2,"pen","Yes",0.33,0
1,22,2,"M82","No",0,0
1,22,2,"pen","Yes",1.29,0.87
1,22,2,"M82","Yes",0.8,0.7
1,22,2,"pen","Yes",1.56,0.91
1,22,2,"M82","Yes",0.54,0
1,22,2,"pen","Yes",1.84,0.46
1,22,2,"M82","Yes",1.52,0.82
1,22,2,"pen","Yes",0.72,0
1,22,3,"M82","Yes",1,0.92
1,22,3,"pen","Yes",0.18,0
1,22,3,"M82","Yes",0.94,0.39
1,22,3,"pen","Yes",1.36,0.82
1,22,3,"M82","Yes",0.2,0
1,22,3,"pen","No",0,0
1,22,3,"M82","Yes",1.97,0.92
1,22,3,"pen","Yes",1.62,1
1,22,3,"M82","Yes",2.3,0.69
1,22,3,"pen","Yes",1.3,0.91
1,22,4,"M82","Yes",0.35,0
1,22,4,"pen","No",0,0
1,22,4,"M82","Yes",0.73,0.4
1,22,4,"pen","Yes",1.6,0.95
1,22,4,"M82","Yes",1.91,1.53
1,22,4,"pen","Yes",1.14,0.66
1,22,4,"M82","Yes",0.55,0
1,22,4,"pen","Yes",1.13,0.84
1,22,4,"M82","Yes",2.4,0.97
1,22,4,"pen","Yes",0.85,0.67
1,22,5,"M82","Yes",1.66,0.93
1,22,5,"pen","Yes",1.32,1
1,22,5,"M82","Yes",0.52,0.66
1,22,5,"pen","Yes",0.62,0.68
1,22,5,"M82","Yes",2.9,1
1,22,5,"pen","Yes",1.45,0.84
1,22,5,"M82","Yes",2.5,0.97
1,22,5,"pen","Yes",1.64,0.85
1,22,5,"M82","Yes",0.98,0
1,22,5,"pen","Yes",0.3,0
1,22,6,"M82","No",0,0
1,22,6,"pen","No",0,0
1,22,6,"M82","Yes",0.4,0
1,22,6,"pen","Yes",1.47,0.85
1,22,6,"M82","Yes",1.87,0.79
1,22,6,"pen","Yes",1.53,0.71
1,22,6,"M82","Yes",2.86,1.26
1,22,6,"pen","Yes",2,0.78
1,22,6,"M82","No",0,0
1,22,6,"pen","Yes",1,0.78
1,14,1,"M82","No",0,0
1,14,1,"pen","Yes",0.59,0
1,14,1,"M82","Yes",0.32,0
1,14,1,"pen","Yes",0.49,0.21
1,14,1,"M82","No",0,0
1,14,1,"pen","Yes",0.55,0
1,14,1,"M82","Yes",0.57,0
1,14,1,"pen","No",0,0
1,14,1,"M82","Yes",0.53,0
1,14,1,"pen","No",0,0
1,14,2,"M82","No",0,0
1,14,2,"pen","Yes",0.46,0.36
1,14,2,"M82","No",0,0
1,14,2,"pen","Yes",0.28,0
1,14,2,"M82","Yes",0.68,0
1,14,2,"pen","Yes",0.4,0.19
1,14,2,"M82","Yes",0.63,0
1,14,2,"pen","Yes",0.61,0
1,14,2,"M82","No",0,0
1,14,2,"pen","Yes",0.39,0
1,14,3,"M82","No",0,0
1,14,3,"pen","Yes",0.37,0
1,14,3,"M82","No",0,0
1,14,3,"pen","Yes",0.19,0
1,14,3,"M82","No",0,0
1,14,3,"pen","Yes",0.28,0
1,14,3,"M82","No",0,0
1,14,3,"pen","No",0,0
1,14,3,"M82","No",0,0
1,14,3,"pen","Yes",0.46,0
1,14,4,"M82","No",0,0
1,14,4,"pen","Yes",0.41,0
1,14,4,"M82","No",0,0
1,14,4,"pen","No",0,0
1,14,4,"M82","Yes",0.93,0
1,14,4,"pen","No",0,0
1,14,4,"M82","No",0,0
1,14,4,"pen","Yes",0.38,0
1,14,4,"M82","No",0,0
1,14,4,"pen","Yes",0.43,0
1,14,5,"M82","No",0,0
1,14,5,"pen","Yes",0.52,0
1,14,5,"M82","Yes",0.56,0
1,14,5,"pen","No",0,0
1,14,5,"M82","No",0,0
1,14,5,"pen","Yes",0.4,0
1,14,5,"M82","No",0,0
1,14,5,"pen","Yes",0.5,0
1,14,5,"M82","No",0,0
1,14,5,"pen","No",0,0
1,14,6,"M82","Yes",0.47,0
1,14,6,"pen","No",0,0
1,14,6,"M82","No",0,0
1,14,6,"pen","Yes",0.43,0
1,14,6,"M82","No",0,0
1,14,6,"pen","Yes",0.47,0
1,14,6,"M82","Yes",0.71,0
1,14,6,"pen","Yes",0.41,0
1,14,6,"M82","No",0,0
1,14,6,"pen","Yes",0.57,0
